"Date","Open","High","Low","Last","Volume","Turnover"
"2018-09-17",4.716,4.747,4.696,4.729,178902.0,845617.733
"2018-09-14",4.722,4.756,4.673,4.756,234528.0,1112295.532
"2018-09-13",4.588,4.768,4.585,4.693,357097.0,1677503.343
"2018-09-12",4.624,4.64,4.54,4.584,224243.0,1026410.361
"2018-09-11",4.645,4.669,4.59,4.64,110041.0,509060.83
"2018-09-10",4.636,4.71,4.615,4.657,155392.0,724542.384
"2018-09-07",4.66,4.66,4.605,4.652,343151.0,1589844.13
"2018-09-06",4.645,4.706,4.645,4.648,250403.0,1170987.316
"2018-09-05",4.75,4.768,4.625,4.626,438262.0,2048334.536
"2018-09-04",4.808,4.86,4.735,4.761,326456.0,1564587.779
"2018-09-03",4.798,4.828,4.76,4.804,149630.0,717528.693
"2018-08-31",4.823,4.9,4.781,4.781,403806.0,1939760.248
"2018-08-30",4.869,4.876,4.81,4.85,209965.0,1014958.961
"2018-08-29",4.928,4.937,4.868,4.892,161478.0,791610.235
"2018-08-28",4.868,4.948,4.86,4.926,317422.0,1561132.724
"2018-08-27",4.836,4.903,4.822,4.903,304851.0,1485806.112
"2018-08-24",4.74,4.815,4.74,4.811,173339.0,829679.584
"2018-08-23",4.696,4.764,4.691,4.732,198612.0,940027.277
"2018-08-22",4.646,4.706,4.639,4.706,135035.0,632986.472
"2018-08-21",4.6,4.652,4.595,4.648,196176.0,910595.784
"2018-08-20",4.59,4.633,4.583,4.616,126462.0,583500.313
"2018-08-17",4.58,4.611,4.55,4.595,152431.0,699108.035
"2018-08-16",4.534,4.58,4.531,4.559,202662.0,923238.079
"2018-08-15",4.583,4.611,4.492,4.5,339387.0,1532876.618
"2018-08-14",4.56,4.593,4.557,4.567,153688.0,702508.882
"2018-08-13",4.573,4.581,4.54,4.567,103212.0,471369.644
"2018-08-10",4.649,4.654,4.566,4.566,292124.0,1340181.339
"2018-08-09",4.675,4.678,4.65,4.661,89196.0,415862.309
"2018-08-08",4.669,4.712,4.656,4.665,377109.0,1762746.299
"2018-08-07",4.636,4.685,4.636,4.658,268290.0,1250671.864
"2018-08-06",4.647,4.662,4.623,4.629,209988.0,973986.664
